prod_id,list_price,num_reviews,star_rating,val_star_rating,play_star_rating,review_difficulty_id,country_id
60119,29.99,14,4.2,4.2,4.0,3,21
60168,29.99,0,,,,1,21
60155,29.99,8,3.8,3.5,3.4,3,21
60101,24.99,13,4.6,4.2,4.4,3,21
60121,24.99,6,4.8,4.4,4.8,3,21
60117,19.99,35,4.6,4.6,4.5,3,21
60142,19.99,7,4.4,4.1,4.7,3,21
60136,9.99,8,4.6,4.3,4.1,3,21
60146,9.99,8,4.8,4.4,4.3,3,21
60145,9.99,7,4.9,4.9,4.9,2,21
60120,9.99,7,4.3,4.3,4.7,3,21
60100,9.99,10,4.9,5.0,4.4,2,21
60106,9.99,11,4.1,4.1,3.9,3,21
60135,6.99,5,4.4,4.6,4.3,2,21
10698,59.99,4,5.0,5.0,5.0,3,21
10696,34.99,11,4.6,4.7,4.6,3,21
10713,19.99,2,5.0,5.0,5.0,2,21
10693,19.99,8,4.9,4.9,4.8,3,21
10692,16.99,7,4.1,4.3,4.3,3,21
10701,14.99,24,4.1,3.5,4.3,2,21
10714,7.99,6,4.7,4.3,4.7,2,21
10700,7.99,46,2.6,2.5,3.2,2,21
10706,4.99,8,4.8,5.0,4.6,2,21
10708,4.99,5,4.8,4.5,4.5,3,21
10707,4.99,4,4.5,4.3,4.3,4,21
10709,4.99,3,4.7,5.0,2.7,3,21
630,2.49,180,4.8,4.6,4.0,2,21
10694,19.99,6,4.5,4.3,4.3,3,21
10699,7.99,24,3.6,2.9,3.9,2,21
31069,69.99,11,3.4,3.2,3.2,4,21
31070,59.99,14,4.5,4.3,4.2,4,21
31081,39.99,4,4.8,4.3,4.0,4,21
31079,34.99,5,4.4,4.2,4.0,3,21
31080,34.99,2,3.5,4.0,4.0,3,21
31066,29.99,12,4.2,4.4,4.3,3,21
31068,29.99,10,3.8,3.9,3.2,4,21
31067,29.99,8,4.6,4.9,4.0,4,21
31062,19.99,9,4.8,4.3,4.5,4,21
31074,19.99,2,5.0,5.0,4.5,3,21
31076,19.99,1,5.0,5.0,5.0,4,21
